	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33	PC_34	PC_35	PC_36	PC_37	PC_38	PC_39	PC_40	PC_41	PC_42	PC_43	PC_44	PC_45	PC_46	PC_47	PC_48	PC_49	PC_50	PC_51	PC_52	PC_53	PC_54	PC_55	PC_56	PC_57	PC_58	PC_59	PC_60	PC_61	PC_62	PC_63	PC_64	PC_65	PC_66	PC_67	PC_68	PC_69	PC_70	PC_71	PC_72	PC_73	PC_74	PC_75	PC_76	PC_77	PC_78	PC_79	PC_80	PC_81	PC_82	PC_83	PC_84	PC_85	PC_86	PC_87	PC_88	PC_89	PC_90	PC_91	PC_92	PC_93	PC_94	PC_95	PC_96	PC_97	PC_98	PC_99	PC_100
Servis_11	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14
Servis_12	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15
Servis_13	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16
Servis_14	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17
Servis_15	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18
Servis_16	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Servis_17	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Servis_18	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Servis_19	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Servis_20	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Servis_21	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Servis_22	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5
Servis_23	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6
Servis_24	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7
Servis_25	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8
Servis_26	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9
Servis_27	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10
Servis_28	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11
Servis_29	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12
Servis_30	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13
Servis_31	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14
Servis_32	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15
Servis_33	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16
Servis_34	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17
Servis_35	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18
Servis_36	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Servis_37	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Servis_38	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Servis_39	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Servis_40	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Servis_41	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Servis_42	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5
Servis_43	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6
Servis_44	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7
Servis_45	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8
Servis_46	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9
Servis_47	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10
Servis_48	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11
Servis_49	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12
Servis_50	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13
Servis_51	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14
Servis_52	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15
Servis_53	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16
Servis_54	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17
Servis_55	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18
Servis_56	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Servis_57	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Servis_58	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Servis_59	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Servis_60	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Servis_61	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Servis_62	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5
Servis_63	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	5	6
