GA Hiperparametri (C++):
    Gen  160: 1999299
    Gen  161: 1999299
    Gen  162: 1999299
    Gen  163: 1999299
    Gen  164: 1999299
    Gen  165: 1999299
    Gen  166: 1999299
    Gen  167: 1999299
    Gen  168: 1999299
    Gen  169: 1999299
    Gen  170: 1999299
    Gen  171: 1999299
    Gen  172: 1999299
    Gen  173: 1999299
    Gen  174: 1999299
    Gen  175: 1999299
    Gen  176: 1999299
    Gen  177: 1999299
    Gen  178: 1999299
    Gen  179: 1999299
    Gen  180: 1999299
    Gen  181: 1999299
    Gen  182: 1999299
    Gen  183: 1999299
    Gen  184: 1999299
    Gen  185: 1999299
    Gen  186: 1999299
    Gen  187: 1999299
    Gen  188: 1999299
    Gen  189: 1999299
    Gen  190: 1999299
    Gen  191: 1999299
    Gen  192: 1999299
    Gen  193: 1999299
    Gen  194: 1999299
    Gen  195: 1999299
    Gen  196: 1999299
    Gen  197: 1999299
    Gen  198: 1999299
    Gen  199: 1999299

  Pokretanje 2:
    Gen    0: 999485
    Gen    1: 1158721
    Gen    2: 1307031
    Gen    3: 1449499
    Gen    4: 1575385
    Gen    5: 1672683
    Gen    6: 1743139
    Gen    7: 1798661
    Gen    8: 1842233
    Gen    9: 1866747
    Gen   10: 1888731
    Gen   11: 1905341
    Gen   12: 1917569
    Gen   13: 1929792
    Gen   14: 1935545
    Gen   15: 1942079
    Gen   16: 1946420
    Gen   17: 1950057
    Gen   18: 1952979
    Gen   19: 1956701
    Gen   20: 1959184
    Gen   21: 1961800
    Gen   22: 1965799
    Gen   23: 1966492
    Gen   24: 1968026
    Gen   25: 1971175
    Gen   26: 1971606
    Gen   27: 1974052
    Gen   28: 1974733
    Gen   29: 1976150
    Gen   30: 1977166
    Gen   31: 1979010
    Gen   32: 1979792
    Gen   33: 1981910
    Gen   34: 1981910
    Gen   35: 1983080
    Gen   36: 1984158
    Gen   37: 1985484
    Gen   38: 1986456
    Gen   39: 1987238
    Gen   40: 1987744
    Gen   41: 1988588
    Gen   42: 1988825
    Gen   43: 1989046
    Gen   44: 1989589
    Gen   45: 1990462
    Gen   46: 1990735
    Gen   47: 1991501
    Gen   48: 1991588
    Gen   49: 1992184
    Gen   50: 1992483
    Gen   51: 1992758
    Gen   52: 1992952
    Gen   53: 1993406
    Gen   54: 1993954
    Gen   55: 1994172
    Gen   56: 1994265
    Gen   57: 1994413
    Gen   58: 1994929
    Gen   59: 1994929
    Gen   60: 1995038
    Gen   61: 1995176
    Gen   62: 1995269
    Gen   63: 1995387
    Gen   64: 1995469
    Gen   65: 1995800
    Gen   66: 1995875
    Gen   67: 1996169
    Gen   68: 1996521
    Gen   69: 1996542
    Gen   70: 1996711
    Gen   71: 1996746
    Gen   72: 1997007
    Gen   73: 1997094
    Gen   74: 1997203
    Gen   75: 1997401
    Gen   76: 1997448
    Gen   77: 1997566
    Gen   78: 1997724
    Gen   79: 1997911
    Gen   80: 1998013
    Gen   81: 1998068
    Gen   82: 1998145
    Gen   83: 1998297
    Gen   84: 1998350
    Gen   85: 1998409
    Gen   86: 1998524
    Gen   87: 1998541
    Gen   88: 1998636
    Gen   89: 1998698
    Gen   90: 1998747
    Gen   91: 1998747
    Gen   92: 1998824
    Gen   93: 1998887
    Gen   94: 1998965
    Gen   95: 1999020
    Gen   96: 1999057
    Gen   97: 1999116
    Gen   98: 1999116
    Gen   99: 1999126
    Gen  100: 1999198
    Gen  101: 1999200
    Gen  102: 1999228
    Gen  103: 1999241
    Gen  104: 1999279
    Gen  105: 1999291
    Gen  106: 1999310
    Gen  107: 1999341
    Gen  108: 1999352
    Gen  109: 1999374
    Gen  110: 1999374
    Gen  111: 1999396
    Gen  112: 1999408
    Gen  113: 1999408
    Gen  114: 1999428
    Gen  115: 1999434
    Gen  116: 1999437
    Gen  117: 1999456
    Gen  118: 1999466
    Gen  119: 1999478
    Gen  120: 1999504
    Gen  121: 1999511
    Gen  122: 1999514
    Gen  123: 1999523
    Gen  124: 1999534
    Gen  125: 1999540
    Gen  126: 1999555
    Gen  127: 1999555
    Gen  128: 1999576
    Gen  129: 1999593
    Gen  130: 1999605
    Gen  131: 1999607
    Gen  132: 1999625
    Gen  133: 1999645
    Gen  134: 1999645
    Gen  135: 1999645
    Gen  136: 1999648
    Gen  137: 1999662
    Gen  138: 1999662
    Gen  139: 1999678
    Gen  140: 1999679
    Gen  141: 1999682
    Gen  142: 1999682
    Gen  143: 1999682
    Gen  144: 1999683
    Gen  145: 1999683
    Gen  146: 1999688
    Gen  147: 1999689
    Gen  148: 1999705
    Gen  149: 1999705
    Gen  150: 1999705
    Gen  151: 1999705
    Gen  152: 1999707
    Gen  153: 1999707
    Gen  154: 1999707
    Gen  155: 1999707
    Gen  156: 1999707
    Gen  157: 1999707
    Gen  158: 1999707
    Gen  159: 1999707
    Gen  160: 1999707
    Gen  161: 1999707
    Gen  162: 1999707
    Gen  163: 1999707
    Gen  164: 1999707
    Gen  165: 1999707
    Gen  166: 1999707
    Gen  167: 1999707
    Gen  168: 1999707
    Gen  169: 1999707
    Gen  170: 1999707
    Gen  171: 1999707
    Gen  172: 1999707
    Gen  173: 1999707
    Gen  174: 1999707
    Gen  175: 1999707
    Gen  176: 1999707
    Gen  177: 1999707
    Gen  178: 1999707
    Gen  179: 1999707
    Gen  180: 1999707
    Gen  181: 1999707
    Gen  182: 1999707
    Gen  183: 1999707
    Gen  184: 1999707
    Gen  185: 1999707
    Gen  186: 1999707
    Gen  187: 1999707
    Gen  188: 1999707
    Gen  189: 1999707
    Gen  190: 1999707
    Gen  191: 1999707
    Gen  192: 1999707
    Gen  193: 1999707
    Gen  194: 1999707
    Gen  195: 1999707
    Gen  196: 1999707
    Gen  197: 1999707
    Gen  198: 1999707
    Gen  199: 1999707
