GA Hiperparametri (C++):
    Gen   90: 1996121
    Gen   91: 1996223
    Gen   92: 1996326
    Gen   93: 1996326
    Gen   94: 1996389
    Gen   95: 1996424
    Gen   96: 1996450
    Gen   97: 1996503
    Gen   98: 1996571
    Gen   99: 1996613
    Gen  100: 1996664
    Gen  101: 1996707
    Gen  102: 1996803
    Gen  103: 1996850
    Gen  104: 1996884
    Gen  105: 1996946
    Gen  106: 1996953
    Gen  107: 1996967
    Gen  108: 1997019
    Gen  109: 1997045
    Gen  110: 1997064
    Gen  111: 1997083
    Gen  112: 1997142
    Gen  113: 1997142
    Gen  114: 1997167
    Gen  115: 1997179
    Gen  116: 1997202
    Gen  117: 1997226
    Gen  118: 1997248
    Gen  119: 1997262
    Gen  120: 1997282
    Gen  121: 1997291
    Gen  122: 1997295
    Gen  123: 1997304
    Gen  124: 1997316
    Gen  125: 1997317
    Gen  126: 1997328
    Gen  127: 1997328
    Gen  128: 1997336
    Gen  129: 1997336
    Gen  130: 1997337
    Gen  131: 1997371
    Gen  132: 1997371
    Gen  133: 1997387
    Gen  134: 1997387
    Gen  135: 1997395
    Gen  136: 1997409
    Gen  137: 1997414
    Gen  138: 1997414
    Gen  139: 1997423
    Gen  140: 1997426
    Gen  141: 1997446
    Gen  142: 1997446
    Gen  143: 1997446
    Gen  144: 1997457
    Gen  145: 1997457
    Gen  146: 1997461
    Gen  147: 1997461
    Gen  148: 1997461
    Gen  149: 1997478
    Gen  150: 1997478
    Gen  151: 1997483
    Gen  152: 1997483
    Gen  153: 1997489
    Gen  154: 1997489
    Gen  155: 1997489
    Gen  156: 1997489
    Gen  157: 1997489
    Gen  158: 1997489
    Gen  159: 1997489
    Gen  160: 1997489
    Gen  161: 1997489
    Gen  162: 1997489
    Gen  163: 1997489
    Gen  164: 1997489
    Gen  165: 1997489
    Gen  166: 1997489
    Gen  167: 1997491
    Gen  168: 1997491
    Gen  169: 1997491
    Gen  170: 1997491
    Gen  171: 1997491
    Gen  172: 1997491
    Gen  173: 1997491
    Gen  174: 1997491
    Gen  175: 1997491
    Gen  176: 1997491
    Gen  177: 1997491
    Gen  178: 1997491
    Gen  179: 1997491
    Gen  180: 1997491
    Gen  181: 1997491
    Gen  182: 1997491
    Gen  183: 1997491
    Gen  184: 1997491
    Gen  185: 1997491
    Gen  186: 1997491
    Gen  187: 1997491
    Gen  188: 1997491
    Gen  189: 1997491
    Gen  190: 1997491
    Gen  191: 1997491
    Gen  192: 1997491
    Gen  193: 1997491
    Gen  194: 1997491
    Gen  195: 1997491
    Gen  196: 1997491
    Gen  197: 1997491
    Gen  198: 1997491
    Gen  199: 1997491

  Pokretanje 2:
    Gen    0: 999829
    Gen    1: 1156502
    Gen    2: 1302695
    Gen    3: 1445646
    Gen    4: 1573325
    Gen    5: 1662085
    Gen    6: 1734060
    Gen    7: 1796791
    Gen    8: 1835811
    Gen    9: 1865991
    Gen   10: 1887224
    Gen   11: 1906602
    Gen   12: 1921463
    Gen   13: 1927494
    Gen   14: 1934262
    Gen   15: 1940869
    Gen   16: 1946683
    Gen   17: 1950453
    Gen   18: 1954430
    Gen   19: 1958985
    Gen   20: 1963080
    Gen   21: 1963080
    Gen   22: 1965081
    Gen   23: 1966753
    Gen   24: 1969302
    Gen   25: 1970964
    Gen   26: 1971118
    Gen   27: 1973283
    Gen   28: 1974652
    Gen   29: 1975153
    Gen   30: 1977028
    Gen   31: 1977651
    Gen   32: 1979629
    Gen   33: 1979702
    Gen   34: 1980717
    Gen   35: 1981477
    Gen   36: 1982702
    Gen   37: 1983237
    Gen   38: 1984115
    Gen   39: 1984674
    Gen   40: 1985393
    Gen   41: 1986272
    Gen   42: 1986494
    Gen   43: 1986762
    Gen   44: 1987712
    Gen   45: 1987712
    Gen   46: 1987957
    Gen   47: 1988276
    Gen   48: 1988741
    Gen   49: 1989228
    Gen   50: 1989544
    Gen   51: 1990050
    Gen   52: 1990400
    Gen   53: 1990911
    Gen   54: 1991040
    Gen   55: 1991285
    Gen   56: 1991918
    Gen   57: 1992123
    Gen   58: 1992471
    Gen   59: 1992792
    Gen   60: 1993120
    Gen   61: 1993390
    Gen   62: 1993865
    Gen   63: 1994351
    Gen   64: 1994470
    Gen   65: 1994703
    Gen   66: 1995071
    Gen   67: 1995283
    Gen   68: 1995406
    Gen   69: 1995587
    Gen   70: 1995680
    Gen   71: 1995808
    Gen   72: 1995896
    Gen   73: 1996111
    Gen   74: 1996185
    Gen   75: 1996255
    Gen   76: 1996338
    Gen   77: 1996418
    Gen   78: 1996509
    Gen   79: 1996608
    Gen   80: 1996665
    Gen   81: 1996745
    Gen   82: 1996823
    Gen   83: 1996869
    Gen   84: 1996950
    Gen   85: 1997026
    Gen   86: 1997103
    Gen   87: 1997140
    Gen   88: 1997190
    Gen   89: 1997206
    Gen   90: 1997277
    Gen   91: 1997347
    Gen   92: 1997363
    Gen   93: 1997415
    Gen   94: 1997467
    Gen   95: 1997531
    Gen   96: 1997559
    Gen   97: 1997592
    Gen   98: 1997648
    Gen   99: 1997663
    Gen  100: 1997680
    Gen  101: 1997689
    Gen  102: 1997709
    Gen  103: 1997733
    Gen  104: 1997733
    Gen  105: 1997751
    Gen  106: 1997765
    Gen  107: 1997775
    Gen  108: 1997789
    Gen  109: 1997792
    Gen  110: 1997804
    Gen  111: 1997819
    Gen  112: 1997836
    Gen  113: 1997839
    Gen  114: 1997863
    Gen  115: 1997883
    Gen  116: 1997883
    Gen  117: 1997889
    Gen  118: 1997893
    Gen  119: 1997899
    Gen  120: 1997899
    Gen  121: 1997899
    Gen  122: 1997903
    Gen  123: 1997905
    Gen  124: 1997907
    Gen  125: 1997911
    Gen  126: 1997911
    Gen  127: 1997913
    Gen  128: 1997913
    Gen  129: 1997913
    Gen  130: 1997913
    Gen  131: 1997913
    Gen  132: 1997913
    Gen  133: 1997917
    Gen  134: 1997917
    Gen  135: 1997917
    Gen  136: 1997917
    Gen  137: 1997917
    Gen  138: 1997917
    Gen  139: 1997917
    Gen  140: 1997917
    Gen  141: 1997917
    Gen  142: 1997917
    Gen  143: 1997917
    Gen  144: 1997917
    Gen  145: 1997917
    Gen  146: 1997917
    Gen  147: 1997917
    Gen  148: 1997917
    Gen  149: 1997917
    Gen  150: 1997917
    Gen  151: 1997917
    Gen  152: 1997917
    Gen  153: 1997917
    Gen  154: 1997917
    Gen  155: 1997917
    Gen  156: 1997917
    Gen  157: 1997917
    Gen  158: 1997917
    Gen  159: 1997917
    Gen  160: 1997917
    Gen  161: 1997917
    Gen  162: 1997917
    Gen  163: 1997917
    Gen  164: 1997917
    Gen  165: 1997917
    Gen  166: 1997917
    Gen  167: 1997917
    Gen  168: 1997917
    Gen  169: 1997917
    Gen  170: 1997917
    Gen  171: 1997917
    Gen  172: 1997917
    Gen  173: 1997917
    Gen  174: 1997917
    Gen  175: 1997917
    Gen  176: 1997917
    Gen  177: 1997917
    Gen  178: 1997917
    Gen  179: 1997917
    Gen  180: 1997917
    Gen  181: 1997917
    Gen  182: 1997917
    Gen  183: 1997917
    Gen  184: 1997917
    Gen  185: 1997917
    Gen  186: 1997917
    Gen  187: 1997917
    Gen  188: 1997917
    Gen  189: 1997917
    Gen  190: 1997917
    Gen  191: 1997917
    Gen  192: 1997917
    Gen  193: 1997917
    Gen  194: 1997917
    Gen  195: 1997917
    Gen  196: 1997917
    Gen  197: 1997917
    Gen  198: 1997917
    Gen  199: 1997917
