GA Hiperparametri:
  Velicina populacije: 100
  Broj generacija: 100
  Velicina turnira: 10
  Verovatnoca ukrstanja: 0.80
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 11

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 79,256 dinara  (0.53s)
    Gen   41: 78,065
    Gen   42: 78,065
    Gen   43: 78,080
    Gen   44: 78,085
    Gen   45: 78,093
    Gen   46: 78,157
    Gen   47: 78,157
    Gen   48: 78,157
    Gen   49: 78,211
    Gen   50: 78,453
    Gen   51: 78,453
    Gen   52: 78,638
    Gen   53: 78,692
    Gen   54: 78,746
    Gen   55: 78,746
    Gen   56: 78,746
    Gen   57: 78,747
    Gen   58: 78,754
    Gen   59: 78,762
    Gen   60: 78,778
    Gen   61: 78,778
    Gen   62: 78,794
    Gen   63: 78,810
    Gen   64: 78,810
    Gen   65: 78,825
    Gen   66: 79,022
    Gen   67: 79,022
    Gen   68: 79,037
    Gen   69: 79,047
    Gen   70: 79,055
    Gen   71: 79,055
    Gen   72: 79,187
    Gen   73: 79,187
    Gen   74: 79,353
    Gen   75: 79,353
    Gen   76: 79,489
    Gen   77: 79,489
    Gen   78: 79,606
    Gen   79: 79,622
    Gen   80: 79,622
    Gen   81: 79,622
    Gen   82: 79,622
    Gen   83: 79,642
    Gen   84: 79,642
    Gen   85: 79,648
    Gen   86: 79,648
    Gen   87: 79,708
    Gen   88: 79,708
    Gen   89: 79,715
    Gen   90: 79,715
    Gen   91: 79,715
    Gen   92: 79,715
    Gen   93: 79,715
    Gen   94: 79,723
    Gen   95: 79,723
    Gen   96: 79,723
    Gen   97: 79,731
    Gen   98: 79,731
    Gen   99: 79,731

  Pokretanje 4:
    Gen    0: 72,488
    Gen    1: 72,488
    Gen    2: 72,514
    Gen    3: 72,722
    Gen    4: 72,894
    Gen    5: 73,180
    Gen    6: 73,180
    Gen    7: 73,301
    Gen    8: 74,012
    Gen    9: 74,167
    Gen   10: 74,301
    Gen   11: 74,301
    Gen   12: 74,311
    Gen   13: 74,740
    Gen   14: 74,889
    Gen   15: 74,919
    Gen   16: 74,933
    Gen   17: 74,933
    Gen   18: 75,066
    Gen   19: 75,714
    Gen   20: 76,257
    Gen   21: 76,257
    Gen   22: 76,507
    Gen   23: 76,961
    Gen   24: 76,961
    Gen   25: 77,156
    Gen   26: 77,349
    Gen   27: 77,475
    Gen   28: 77,475
    Gen   29: 77,654
    Gen   30: 77,766
    Gen   31: 77,858
    Gen   32: 77,952
    Gen   33: 78,048
    Gen   34: 78,190
    Gen   35: 78,208
    Gen   36: 78,208
    Gen   37: 78,228
    Gen   38: 78,701
    Gen   39: 78,701
    Gen   40: 78,731
    Gen   41: 78,731
    Gen   42: 78,738
    Gen   43: 78,839
    Gen   44: 78,945
    Gen   45: 79,053
    Gen   46: 79,070
    Gen   47: 79,084
    Gen   48: 79,198
    Gen   49: 79,205
    Gen   50: 79,205
    Gen   51: 79,205
    Gen   52: 79,205
    Gen   53: 79,205
    Gen   54: 79,348
    Gen   55: 79,387
    Gen   56: 79,393
    Gen   57: 79,412
    Gen   58: 79,412
    Gen   59: 79,412
    Gen   60: 79,551
    Gen   61: 79,551
    Gen   62: 79,551
    Gen   63: 79,551
    Gen   64: 79,551
    Gen   65: 79,551
    Gen   66: 79,624
    Gen   67: 79,722
    Gen   68: 79,722
    Gen   69: 79,722
    Gen   70: 79,729
    Gen   71: 79,729
    Gen   72: 79,729
    Gen   73: 79,783
    Gen   74: 79,783
    Gen   75: 79,787
    Gen   76: 79,787
    Gen   77: 79,789
    Gen   78: 79,789
    Gen   79: 79,789
    Gen   80: 79,799
    Gen   81: 79,799
    Gen   82: 79,799
    Gen   83: 79,799
    Gen   84: 79,799
    Gen   85: 79,799
    Gen   86: 79,808
    Gen   87: 79,809
    Gen   88: 79,818
    Gen   89: 79,818
    Gen   90: 79,818
    Gen   91: 79,818
    Gen   92: 79,818
    Gen   93: 79,818
    Gen   94: 79,818
    Gen   95: 79,818
    Gen   96: 79,818
    Gen   97: 79,818
    Gen   98: 79,818
    Gen   99: 79,836

  Pokretanje 5:
    Gen    0: 72,020
    Gen    1: 72,310
    Gen    2: 72,631
    Gen    3: 72,631
    Gen    4: 72,631
    Gen    5: 72,784
    Gen    6: 72,808
    Gen    7: 72,910
    Gen    8: 73,210
    Gen    9: 73,741
    Gen   10: 73,971
    Gen   11: 74,097
    Gen   12: 74,615
    Gen   13: 74,636
    Gen   14: 75,214
    Gen   15: 75,485
    Gen   16: 75,690
    Gen   17: 75,690
    Gen   18: 75,690
    Gen   19: 75,750
    Gen   20: 75,750
    Gen   21: 75,806
    Gen   22: 75,806
    Gen   23: 75,877
    Gen   24: 75,877
    Gen   25: 76,174
    Gen   26: 76,507
    Gen   27: 76,510
    Gen   28: 76,510
    Gen   29: 76,843
    Gen   30: 76,843
    Gen   31: 76,888
    Gen   32: 77,086
    Gen   33: 77,170
    Gen   34: 77,170
    Gen   35: 77,396
    Gen   36: 77,396
    Gen   37: 77,561
    Gen   38: 77,637
    Gen   39: 77,648
    Gen   40: 77,889
    Gen   41: 77,889
    Gen   42: 77,989
    Gen   43: 78,009
    Gen   44: 78,045
    Gen   45: 78,045
    Gen   46: 78,104
    Gen   47: 78,124
    Gen   48: 78,148
    Gen   49: 78,168
    Gen   50: 78,208
    Gen   51: 78,228
    Gen   52: 78,245
    Gen   53: 78,262
    Gen   54: 78,289
    Gen   55: 78,296
    Gen   56: 78,346
    Gen   57: 78,363
    Gen   58: 78,381
    Gen   59: 78,459
    Gen   60: 78,459
    Gen   61: 78,513
    Gen   62: 78,513
    Gen   63: 78,513
    Gen   64: 78,521
    Gen   65: 78,521
    Gen   66: 78,521
    Gen   67: 78,521
    Gen   68: 78,521
    Gen   69: 78,529
    Gen   70: 78,529
    Gen   71: 78,529
    Gen   72: 78,529
    Gen   73: 78,529
    Gen   74: 78,529
    Gen   75: 78,529
    Gen   76: 78,529
    Gen   77: 78,529
    Gen   78: 78,592
    Gen   79: 78,592
    Gen   80: 78,602
    Gen   81: 78,602
    Gen   82: 78,602
    Gen   83: 78,602
    Gen   84: 78,602
    Gen   85: 78,602
    Gen   86: 78,602
    Gen   87: 78,678
    Gen   88: 78,678
    Gen   89: 78,686
    Gen   90: 78,769
    Gen   91: 78,829
    Gen   92: 78,837
    Gen   93: 78,837
    Gen   94: 78,863
    Gen   95: 78,863
    Gen   96: 78,863
    Gen   97: 78,863
    Gen   98: 78,863
    Gen   99: 78,863

  Pokretanje 6:
    Gen    0: 71,788
    Gen    1: 71,788
    Gen    2: 71,788
    Gen    3: 72,538
    Gen    4: 72,538
    Gen    5: 73,171
    Gen    6: 73,231
    Gen    7: 73,354
    Gen    8: 73,354
    Gen    9: 73,525
    Gen   10: 73,525
    Gen   11: 73,732
    Gen   12: 73,732
    Gen   13: 73,732
    Gen   14: 73,732
    Gen   15: 73,752
    Gen   16: 73,791
    Gen   17: 73,791
    Gen   18: 73,823
    Gen   19: 73,870
    Gen   20: 73,902
    Gen   21: 73,902
    Gen   22: 73,916
    Gen   23: 73,985
    Gen   24: 74,131
    Gen   25: 74,555
    Gen   26: 75,567
    Gen   27: 75,684
    Gen   28: 75,684
    Gen   29: 75,836
    Gen   30: 75,890
    Gen   31: 76,132
    Gen   32: 76,638
    Gen   33: 76,638
    Gen   34: 76,654
    Gen   35: 76,654
    Gen   36: 76,654
    Gen   37: 76,664
    Gen   38: 76,786
    Gen   39: 76,796
    Gen   40: 76,803
    Gen   41: 76,815
    Gen   42: 76,822
    Gen   43: 76,867
    Gen   44: 76,892
    Gen   45: 76,907
    Gen   46: 77,077
    Gen   47: 77,092
    Gen   48: 77,092
    Gen   49: 77,092
    Gen   50: 77,099
    Gen   51: 77,099
    Gen   52: 77,099
    Gen   53: 77,099
    Gen   54: 77,129
    Gen   55: 77,306
    Gen   56: 77,336
    Gen   57: 77,336
    Gen   58: 77,336
    Gen   59: 77,336
    Gen   60: 77,336
    Gen   61: 77,336
    Gen   62: 77,336
    Gen   63: 77,336
    Gen   64: 77,372
    Gen   65: 77,517
    Gen   66: 77,553
    Gen   67: 77,624
    Gen   68: 77,624
    Gen   69: 77,634
    Gen   70: 77,634
    Gen   71: 77,634
    Gen   72: 77,634
    Gen   73: 77,634
    Gen   74: 77,634
    Gen   75: 77,634
    Gen   76: 77,634
    Gen   77: 77,634
    Gen   78: 77,634
    Gen   79: 77,634
    Gen   80: 77,634
    Gen   81: 77,634
    Gen   82: 77,634
    Gen   83: 77,634
    Gen   84: 77,634
    Gen   85: 77,640
    Gen   86: 77,640
    Gen   87: 77,640
    Gen   88: 77,925
    Gen   89: 77,935
    Gen   90: 77,935
    Gen   91: 77,935
    Gen   92: 77,935
    Gen   93: 78,024
    Gen   94: 78,024
    Gen   95: 78,148
    Gen   96: 78,148
    Gen   97: 78,148
    Gen   98: 78,148
    Gen   99: 78,156

  Pokretanje 7:
    Gen    0: 72,361
    Gen    1: 72,361
    Gen    2: 72,361
    Gen    3: 72,361
    Gen    4: 72,361
    Gen    5: 72,463
    Gen    6: 72,463
    Gen    7: 73,076
    Gen    8: 73,265
    Gen    9: 73,265
    Gen   10: 74,368
    Gen   11: 74,588
    Gen   12: 74,634
    Gen   13: 74,754
    Gen   14: 74,754
    Gen   15: 74,838
    Gen   16: 74,846
    Gen   17: 75,020
    Gen   18: 75,035
    Gen   19: 75,120
    Gen   20: 75,130
    Gen   21: 75,307
    Gen   22: 75,537
    Gen   23: 75,537
    Gen   24: 75,690
    Gen   25: 75,690
    Gen   26: 75,794
    Gen   27: 75,850
    Gen   28: 76,094
    Gen   29: 76,094
    Gen   30: 76,190
    Gen   31: 76,294
    Gen   32: 76,378
    Gen   33: 76,398
    Gen   34: 76,404
    Gen   35: 77,043
    Gen   36: 77,043
    Gen   37: 77,295
    Gen   38: 77,295
    Gen   39: 77,344
    Gen   40: 77,380
    Gen   41: 77,989
    Gen   42: 77,989
    Gen   43: 78,013
    Gen   44: 78,128
    Gen   45: 78,208
    Gen   46: 78,444
    Gen   47: 78,444
    Gen   48: 78,583
    Gen   49: 78,838
    Gen   50: 78,906
    Gen   51: 79,059
    Gen   52: 79,223
    Gen   53: 79,242
    Gen   54: 79,268
    Gen   55: 79,290
    Gen   56: 79,322
    Gen   57: 79,385
    Gen   58: 79,579
    Gen   59: 79,750
    Gen   60: 79,822
    Gen   61: 79,895
    Gen   62: 79,974
    Gen   63: 79,977
    Gen   64: 80,056
    Gen   65: 80,119
    Gen   66: 80,119
    Gen   67: 80,195
    Gen   68: 80,205
    Gen   69: 80,210
    Gen   70: 80,265
    Gen   71: 80,280
    Gen   72: 80,290
    Gen   73: 80,311
    Gen   74: 80,311
    Gen   75: 80,326
    Gen   76: 80,459
    Gen   77: 80,474
    Gen   78: 80,474
    Gen   79: 80,479
    Gen   80: 80,488
    Gen   81: 80,488
    Gen   82: 80,488
    Gen   83: 80,488
    Gen   84: 80,488
    Gen   85: 80,488
    Gen   86: 80,508
    Gen   87: 80,508
    Gen   88: 80,508
    Gen   89: 80,508
    Gen   90: 80,508
    Gen   91: 80,538
    Gen   92: 80,538
    Gen   93: 80,538
    Gen   94: 80,538
    Gen   95: 80,538
    Gen   96: 80,538
    Gen   97: 80,538
    Gen   98: 80,538
    Gen   99: 80,538

  Pokretanje 8:
    Gen    0: 72,025
    Gen    1: 72,025
    Gen    2: 72,089
    Gen    3: 72,924
    Gen    4: 72,924
    Gen    5: 74,134
    Gen    6: 74,134
    Gen    7: 74,134
    Gen    8: 74,134
    Gen    9: 74,593
    Gen   10: 74,666
    Gen   11: 74,926
    Gen   12: 75,066
    Gen   13: 75,066
    Gen   14: 75,138
    Gen   15: 75,304
    Gen   16: 75,326
    Gen   17: 75,806
    Gen   18: 75,806
    Gen   19: 75,956
    Gen   20: 75,970
    Gen   21: 76,212
    Gen   22: 76,235
    Gen   23: 76,316
    Gen   24: 76,378
    Gen   25: 76,501
    Gen   26: 76,503
    Gen   27: 76,675
    Gen   28: 76,967
    Gen   29: 77,160
    Gen   30: 77,303
    Gen   31: 77,303
    Gen   32: 77,429
    Gen   33: 77,487
    Gen   34: 77,487
    Gen   35: 77,507
    Gen   36: 78,086
    Gen   37: 78,086
    Gen   38: 78,163
    Gen   39: 78,163
    Gen   40: 78,227
    Gen   41: 78,557
    Gen   42: 78,557
    Gen   43: 78,675
    Gen   44: 78,693
    Gen   45: 78,774
    Gen   46: 78,785
    Gen   47: 79,081
    Gen   48: 79,321
    Gen   49: 79,321
    Gen   50: 79,321
    Gen   51: 79,321
    Gen   52: 79,321
    Gen   53: 79,751
    Gen   54: 79,751
    Gen   55: 79,751
    Gen   56: 79,751
    Gen   57: 79,804
    Gen   58: 79,828
    Gen   59: 79,847
    Gen   60: 79,903
    Gen   61: 79,903
    Gen   62: 79,946
    Gen   63: 79,946
    Gen   64: 79,946
    Gen   65: 79,946
    Gen   66: 79,946
    Gen   67: 79,946
    Gen   68: 79,946
    Gen   69: 79,946
    Gen   70: 79,946
    Gen   71: 79,946
    Gen   72: 80,231
    Gen   73: 80,231
    Gen   74: 80,231
    Gen   75: 80,239
    Gen   76: 80,307
    Gen   77: 80,329
    Gen   78: 80,373
    Gen   79: 80,373
    Gen   80: 80,395
    Gen   81: 80,395
    Gen   82: 80,461
    Gen   83: 80,483
    Gen   84: 80,491
    Gen   85: 80,491
    Gen   86: 80,491
    Gen   87: 80,491
    Gen   88: 80,581
    Gen   89: 80,581
    Gen   90: 80,581
    Gen   91: 80,581
    Gen   92: 80,581
    Gen   93: 80,581
    Gen   94: 80,581
    Gen   95: 80,581
    Gen   96: 80,583
    Gen   97: 80,583
    Gen   98: 80,583
    Gen   99: 80,583

  Pokretanje 9:
    Gen    0: 71,605
    Gen    1: 71,700
    Gen    2: 71,700
    Gen    3: 72,948
    Gen    4: 72,948
    Gen    5: 72,981
    Gen    6: 72,981
    Gen    7: 73,010
    Gen    8: 73,010
    Gen    9: 73,013
    Gen   10: 73,038
    Gen   11: 73,151
    Gen   12: 73,179
    Gen   13: 73,360
    Gen   14: 74,509
    Gen   15: 74,691
    Gen   16: 74,875
    Gen   17: 75,016
    Gen   18: 75,150
    Gen   19: 75,175
    Gen   20: 75,288
    Gen   21: 75,388
    Gen   22: 76,377
    Gen   23: 76,797
    Gen   24: 76,797
    Gen   25: 77,054
    Gen   26: 77,054
    Gen   27: 77,384
    Gen   28: 77,428
    Gen   29: 77,578
    Gen   30: 77,642
    Gen   31: 77,656
    Gen   32: 78,076
    Gen   33: 78,077
    Gen   34: 78,155
    Gen   35: 78,384
    Gen   36: 78,510
    Gen   37: 78,569
    Gen   38: 78,569
    Gen   39: 78,629
    Gen   40: 78,629
    Gen   41: 78,787
    Gen   42: 78,787
    Gen   43: 78,802
    Gen   44: 78,856
    Gen   45: 78,941
    Gen   46: 78,952
    Gen   47: 79,044
    Gen   48: 79,066
    Gen   49: 79,156
    Gen   50: 79,381
    Gen   51: 79,465
    Gen   52: 79,514
    Gen   53: 79,561
    Gen   54: 80,021
    Gen   55: 80,021
    Gen   56: 80,135
    Gen   57: 80,211
    Gen   58: 80,342
    Gen   59: 80,438
    Gen   60: 80,442
    Gen   61: 80,468
    Gen   62: 80,568
    Gen   63: 80,667
    Gen   64: 80,667
    Gen   65: 80,677
    Gen   66: 80,759
    Gen   67: 80,767
    Gen   68: 80,808
    Gen   69: 80,852
    Gen   70: 80,852
    Gen   71: 80,869
    Gen   72: 80,869
    Gen   73: 80,913
    Gen   74: 80,913
    Gen   75: 80,949
    Gen   76: 80,949
    Gen   77: 80,967
    Gen   78: 80,976
    Gen   79: 80,976
    Gen   80: 80,987
    Gen   81: 80,994
    Gen   82: 80,994
    Gen   83: 81,004
    Gen   84: 81,011
    Gen   85: 81,011
    Gen   86: 81,012
    Gen   87: 81,019
    Gen   88: 81,019
    Gen   89: 81,116
    Gen   90: 81,116
    Gen   91: 81,132
    Gen   92: 81,132
    Gen   93: 81,132
    Gen   94: 81,132
    Gen   95: 81,132
    Gen   96: 81,132
    Gen   97: 81,132
    Gen   98: 81,291
    Gen   99: 81,291

  Pokretanje 10:
    Gen    0: 72,395
    Gen    1: 72,395
    Gen    2: 72,395
    Gen    3: 72,452
    Gen    4: 72,728
    Gen    5: 73,448
    Gen    6: 73,990
    Gen    7: 73,990
    Gen    8: 74,132
    Gen    9: 74,132
    Gen   10: 74,240
    Gen   11: 74,240
    Gen   12: 74,390
    Gen   13: 74,443
    Gen   14: 74,534
    Gen   15: 74,615
    Gen   16: 75,665
    Gen   17: 75,935
    Gen   18: 76,015
    Gen   19: 77,006
    Gen   20: 77,061
    Gen   21: 77,241
    Gen   22: 77,276
    Gen   23: 77,316
    Gen   24: 77,324
    Gen   25: 77,386
    Gen   26: 77,437
    Gen   27: 77,469
    Gen   28: 77,472
    Gen   29: 77,786
    Gen   30: 77,935
    Gen   31: 78,011
    Gen   32: 78,026
    Gen   33: 78,309
    Gen   34: 78,309
    Gen   35: 78,345
    Gen   36: 78,345
    Gen   37: 78,363
    Gen   38: 78,448
    Gen   39: 78,448
    Gen   40: 78,475
    Gen   41: 78,484
    Gen   42: 78,565
    Gen   43: 78,582
    Gen   44: 78,582
    Gen   45: 78,672
    Gen   46: 78,677
    Gen   47: 78,767
    Gen   48: 78,772
    Gen   49: 78,780
    Gen   50: 78,788
    Gen   51: 78,800
    Gen   52: 78,809
    Gen   53: 78,809
    Gen   54: 78,852
    Gen   55: 79,036
    Gen   56: 79,036
    Gen   57: 79,036
    Gen   58: 79,036
    Gen   59: 79,036
    Gen   60: 79,036
    Gen   61: 79,036
    Gen   62: 79,036
    Gen   63: 79,036
    Gen   64: 79,036
    Gen   65: 79,036
    Gen   66: 79,036
    Gen   67: 79,036
    Gen   68: 79,036
    Gen   69: 79,036
    Gen   70: 79,036
    Gen   71: 79,036
    Gen   72: 79,036
    Gen   73: 79,036
    Gen   74: 79,036
    Gen   75: 79,036
    Gen   76: 79,036
    Gen   77: 79,036
    Gen   78: 79,036
    Gen   79: 79,165
    Gen   80: 79,165
    Gen   81: 79,180
    Gen   82: 79,180
    Gen   83: 79,180
    Gen   84: 79,189
    Gen   85: 79,191
    Gen   86: 79,191
    Gen   87: 79,221
    Gen   88: 79,231
    Gen   89: 79,231
    Gen   90: 79,231
    Gen   91: 79,231
    Gen   92: 79,231
    Gen   93: 79,248
    Gen   94: 79,248
    Gen   95: 79,277
    Gen   96: 79,277
    Gen   97: 79,277
    Gen   98: 79,277
    Gen   99: 79,277

  Pokretanje 11:
    Gen    0: 71,858
    Gen    1: 71,858
    Gen    2: 71,858
    Gen    3: 72,303
    Gen    4: 72,303
    Gen    5: 72,411
    Gen    6: 72,633
    Gen    7: 72,901
    Gen    8: 73,723
    Gen    9: 73,969
    Gen   10: 74,501
    Gen   11: 74,890
    Gen   12: 75,432
    Gen   13: 76,758
    Gen   14: 77,017
    Gen   15: 77,516
    Gen   16: 77,808
    Gen   17: 77,818
    Gen   18: 78,054
    Gen   19: 78,142
    Gen   20: 78,152
    Gen   21: 78,237
    Gen   22: 78,247
    Gen   23: 78,287
    Gen   24: 78,295
    Gen   25: 78,814
    Gen   26: 78,853
    Gen   27: 78,877
    Gen   28: 79,089
    Gen   29: 79,114
    Gen   30: 79,114
    Gen   31: 79,195
    Gen   32: 79,195
    Gen   33: 79,252
    Gen   34: 79,265
    Gen   35: 79,296
    Gen   36: 79,309
    Gen   37: 79,311
    Gen   38: 79,339
    Gen   39: 79,488
    Gen   40: 79,523
    Gen   41: 79,523
    Gen   42: 79,523
    Gen   43: 79,523
    Gen   44: 79,526
    Gen   45: 79,534
    Gen   46: 79,534
    Gen   47: 79,534
    Gen   48: 79,606
    Gen   49: 79,606
    Gen   50: 79,618
    Gen   51: 79,618
    Gen   52: 79,628
    Gen   53: 79,742
    Gen   54: 79,742
    Gen   55: 79,742
    Gen   56: 79,742
    Gen   57: 79,954
    Gen   58: 79,954
    Gen   59: 79,954
    Gen   60: 79,954
    Gen   61: 79,981
    Gen   62: 79,981
    Gen   63: 80,041
    Gen   64: 80,167
    Gen   65: 80,322
    Gen   66: 80,377
    Gen   67: 80,432
    Gen   68: 80,469
    Gen   69: 80,469
    Gen   70: 80,469
    Gen   71: 80,479
    Gen   72: 80,479
    Gen   73: 80,487
    Gen   74: 80,514
    Gen   75: 80,514
    Gen   76: 80,541
    Gen   77: 80,541
    Gen   78: 80,549
    Gen   79: 80,564
    Gen   80: 80,564
    Gen   81: 80,564
    Gen   82: 80,564
    Gen   83: 80,564
    Gen   84: 80,564
    Gen   85: 80,572
    Gen   86: 80,572
    Gen   87: 80,572
    Gen   88: 80,601
    Gen   89: 80,601
    Gen   90: 80,601
    Gen   91: 80,601
    Gen   92: 80,607
