GA Hiperparametri:
  Velicina populacije: 100
  Broj generacija: 100
  Velicina turnira: 10
  Verovatnoca ukrstanja: 0.90
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 11

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 86,536 dinara  (1.17s)
    Gen   16: 83,301
    Gen   17: 83,312
    Gen   18: 83,324
    Gen   19: 83,486
    Gen   20: 83,514
    Gen   21: 83,514
    Gen   22: 83,569
    Gen   23: 83,719
    Gen   24: 83,719
    Gen   25: 83,858
    Gen   26: 84,041
    Gen   27: 84,072
    Gen   28: 84,359
    Gen   29: 84,365
    Gen   30: 84,593
    Gen   31: 84,799
    Gen   32: 84,904
    Gen   33: 84,921
    Gen   34: 84,929
    Gen   35: 84,958
    Gen   36: 84,968
    Gen   37: 85,019
    Gen   38: 85,041
    Gen   39: 85,087
    Gen   40: 85,102
    Gen   41: 85,109
    Gen   42: 85,109
    Gen   43: 85,138
    Gen   44: 85,138
    Gen   45: 85,215
    Gen   46: 85,249
    Gen   47: 85,249
    Gen   48: 85,249
    Gen   49: 85,249
    Gen   50: 85,251
    Gen   51: 85,390
    Gen   52: 85,423
    Gen   53: 85,432
    Gen   54: 85,441
    Gen   55: 85,553
    Gen   56: 85,562
    Gen   57: 85,617
    Gen   58: 85,818
    Gen   59: 85,878
    Gen   60: 85,922
    Gen   61: 85,922
    Gen   62: 85,987
    Gen   63: 86,001
    Gen   64: 86,013
    Gen   65: 86,028
    Gen   66: 86,032
    Gen   67: 86,032
    Gen   68: 86,040
    Gen   69: 86,103
    Gen   70: 86,103
    Gen   71: 86,125
    Gen   72: 86,130
    Gen   73: 86,138
    Gen   74: 86,138
    Gen   75: 86,175
    Gen   76: 86,175
    Gen   77: 86,340
    Gen   78: 86,340
    Gen   79: 86,406
    Gen   80: 86,457
    Gen   81: 86,706
    Gen   82: 86,712
    Gen   83: 86,712
    Gen   84: 86,712
    Gen   85: 86,712
    Gen   86: 86,712
    Gen   87: 86,712
    Gen   88: 86,735
    Gen   89: 86,741
    Gen   90: 86,750
    Gen   91: 86,750
    Gen   92: 86,750
    Gen   93: 86,750
    Gen   94: 86,750
    Gen   95: 86,753
    Gen   96: 86,753
    Gen   97: 86,753
    Gen   98: 86,753
    Gen   99: 86,772

  Pokretanje 3:
    Gen    0: 73,599
    Gen    1: 75,411
    Gen    2: 77,077
    Gen    3: 77,803
    Gen    4: 79,133
    Gen    5: 79,330
    Gen    6: 79,478
    Gen    7: 80,209
    Gen    8: 80,318
    Gen    9: 80,708
    Gen   10: 80,734
    Gen   11: 80,792
    Gen   12: 80,846
    Gen   13: 80,947
    Gen   14: 80,977
    Gen   15: 81,015
    Gen   16: 81,142
    Gen   17: 81,160
    Gen   18: 81,206
    Gen   19: 81,238
    Gen   20: 81,493
    Gen   21: 81,716
    Gen   22: 81,735
    Gen   23: 81,751
    Gen   24: 81,776
    Gen   25: 81,785
    Gen   26: 81,810
    Gen   27: 81,908
    Gen   28: 81,908
    Gen   29: 82,768
    Gen   30: 82,784
    Gen   31: 83,390
    Gen   32: 84,120
    Gen   33: 84,142
    Gen   34: 84,271
    Gen   35: 84,286
    Gen   36: 84,391
    Gen   37: 84,459
    Gen   38: 84,501
    Gen   39: 84,501
    Gen   40: 84,515
    Gen   41: 84,521
    Gen   42: 85,081
    Gen   43: 85,093
    Gen   44: 85,101
    Gen   45: 85,105
    Gen   46: 85,146
    Gen   47: 85,148
    Gen   48: 85,157
    Gen   49: 85,161
    Gen   50: 85,369
    Gen   51: 85,369
    Gen   52: 85,558
    Gen   53: 85,558
    Gen   54: 85,639
    Gen   55: 85,639
    Gen   56: 85,675
    Gen   57: 85,675
    Gen   58: 85,675
    Gen   59: 85,844
    Gen   60: 85,980
    Gen   61: 86,000
    Gen   62: 86,028
    Gen   63: 86,065
    Gen   64: 86,074
    Gen   65: 86,076
    Gen   66: 86,083
    Gen   67: 86,098
    Gen   68: 86,127
    Gen   69: 86,134
    Gen   70: 86,142
    Gen   71: 86,148
    Gen   72: 86,169
    Gen   73: 86,179
    Gen   74: 86,193
    Gen   75: 86,193
    Gen   76: 86,193
    Gen   77: 86,193
    Gen   78: 86,216
    Gen   79: 86,280
    Gen   80: 86,286
    Gen   81: 86,309
    Gen   82: 86,343
    Gen   83: 86,343
    Gen   84: 86,357
    Gen   85: 86,375
    Gen   86: 86,393
    Gen   87: 86,413
    Gen   88: 86,457
    Gen   89: 86,458
    Gen   90: 86,478
    Gen   91: 86,478
    Gen   92: 86,491
    Gen   93: 86,493
    Gen   94: 86,515
    Gen   95: 86,535
    Gen   96: 86,551
    Gen   97: 86,572
    Gen   98: 86,572
    Gen   99: 86,616

  Pokretanje 4:
    Gen    0: 72,633
    Gen    1: 76,226
    Gen    2: 77,515
    Gen    3: 78,563
    Gen    4: 79,364
    Gen    5: 80,038
    Gen    6: 80,118
    Gen    7: 80,521
    Gen    8: 81,117
    Gen    9: 81,184
    Gen   10: 81,418
    Gen   11: 81,523
    Gen   12: 81,548
    Gen   13: 81,549
    Gen   14: 81,672
    Gen   15: 81,754
    Gen   16: 81,903
    Gen   17: 82,444
    Gen   18: 82,644
    Gen   19: 83,028
    Gen   20: 83,118
    Gen   21: 83,171
    Gen   22: 83,184
    Gen   23: 83,245
    Gen   24: 83,404
    Gen   25: 83,452
    Gen   26: 83,570
    Gen   27: 83,583
    Gen   28: 83,720
    Gen   29: 83,744
    Gen   30: 83,876
    Gen   31: 83,911
    Gen   32: 83,924
    Gen   33: 83,924
    Gen   34: 83,924
    Gen   35: 83,924
    Gen   36: 83,924
    Gen   37: 83,942
    Gen   38: 83,942
    Gen   39: 83,942
    Gen   40: 83,985
    Gen   41: 83,985
    Gen   42: 84,005
    Gen   43: 84,005
    Gen   44: 84,139
    Gen   45: 84,139
    Gen   46: 84,146
    Gen   47: 84,146
    Gen   48: 84,146
    Gen   49: 84,146
    Gen   50: 84,444
    Gen   51: 84,444
    Gen   52: 84,460
    Gen   53: 84,460
    Gen   54: 84,480
    Gen   55: 84,744
    Gen   56: 84,830
    Gen   57: 84,905
    Gen   58: 84,905
    Gen   59: 85,095
    Gen   60: 85,154
    Gen   61: 85,304
    Gen   62: 85,304
    Gen   63: 85,469
    Gen   64: 85,469
    Gen   65: 85,497
    Gen   66: 85,505
    Gen   67: 85,516
    Gen   68: 85,639
    Gen   69: 85,661
    Gen   70: 85,896
    Gen   71: 85,901
    Gen   72: 86,135
    Gen   73: 86,135
    Gen   74: 86,144
    Gen   75: 86,152
    Gen   76: 86,162
    Gen   77: 86,162
    Gen   78: 86,162
    Gen   79: 86,252
    Gen   80: 86,252
    Gen   81: 86,295
    Gen   82: 86,295
    Gen   83: 86,302
    Gen   84: 86,302
    Gen   85: 86,315
    Gen   86: 86,317
    Gen   87: 86,317
    Gen   88: 86,327
    Gen   89: 86,332
    Gen   90: 86,344
    Gen   91: 86,344
    Gen   92: 86,344
    Gen   93: 86,344
    Gen   94: 86,344
    Gen   95: 86,344
    Gen   96: 86,344
    Gen   97: 86,344
    Gen   98: 86,524
    Gen   99: 86,524

  Pokretanje 5:
    Gen    0: 72,098
    Gen    1: 75,260
    Gen    2: 77,042
    Gen    3: 78,704
    Gen    4: 79,483
    Gen    5: 80,344
    Gen    6: 80,689
    Gen    7: 80,947
    Gen    8: 81,298
    Gen    9: 81,406
    Gen   10: 81,976
    Gen   11: 82,078
    Gen   12: 82,824
    Gen   13: 82,869
    Gen   14: 82,916
    Gen   15: 83,037
    Gen   16: 83,273
    Gen   17: 83,273
    Gen   18: 83,363
    Gen   19: 83,369
    Gen   20: 83,466
    Gen   21: 83,479
    Gen   22: 83,693
    Gen   23: 83,852
    Gen   24: 83,873
    Gen   25: 83,929
    Gen   26: 84,868
    Gen   27: 84,943
    Gen   28: 85,096
    Gen   29: 85,136
    Gen   30: 85,176
    Gen   31: 85,293
    Gen   32: 85,328
    Gen   33: 85,417
    Gen   34: 85,454
    Gen   35: 85,754
    Gen   36: 85,778
    Gen   37: 85,798
    Gen   38: 85,861
    Gen   39: 85,865
    Gen   40: 85,890
    Gen   41: 85,898
    Gen   42: 85,939
    Gen   43: 85,939
    Gen   44: 85,939
    Gen   45: 85,983
    Gen   46: 85,983
    Gen   47: 85,983
    Gen   48: 86,007
    Gen   49: 86,007
    Gen   50: 86,015
    Gen   51: 86,114
    Gen   52: 86,186
    Gen   53: 86,195
    Gen   54: 86,230
    Gen   55: 86,241
    Gen   56: 86,249
    Gen   57: 86,387
    Gen   58: 86,393
    Gen   59: 86,422
    Gen   60: 86,427
    Gen   61: 86,439
    Gen   62: 86,439
    Gen   63: 86,499
    Gen   64: 86,528
    Gen   65: 86,555
    Gen   66: 86,555
    Gen   67: 86,719
    Gen   68: 86,742
    Gen   69: 86,751
    Gen   70: 86,773
    Gen   71: 86,775
    Gen   72: 86,775
    Gen   73: 86,775
    Gen   74: 86,775
    Gen   75: 86,775
    Gen   76: 86,775
    Gen   77: 86,775
    Gen   78: 86,775
    Gen   79: 86,775
    Gen   80: 86,775
    Gen   81: 86,775
    Gen   82: 86,775
    Gen   83: 86,775
    Gen   84: 86,775
    Gen   85: 86,811
    Gen   86: 86,854
    Gen   87: 86,857
    Gen   88: 86,882
    Gen   89: 86,886
    Gen   90: 86,891
    Gen   91: 86,898
    Gen   92: 86,901
    Gen   93: 86,926
    Gen   94: 86,930
    Gen   95: 86,930
    Gen   96: 86,930
    Gen   97: 86,930
    Gen   98: 86,930
    Gen   99: 87,188

  Pokretanje 6:
    Gen    0: 72,781
    Gen    1: 75,279
    Gen    2: 77,501
    Gen    3: 78,674
    Gen    4: 79,180
    Gen    5: 79,567
    Gen    6: 80,518
    Gen    7: 80,885
    Gen    8: 81,733
    Gen    9: 82,431
    Gen   10: 82,462
    Gen   11: 82,625
    Gen   12: 82,845
    Gen   13: 82,976
    Gen   14: 82,976
    Gen   15: 83,012
    Gen   16: 83,026
    Gen   17: 83,079
    Gen   18: 83,087
    Gen   19: 83,087
    Gen   20: 83,138
    Gen   21: 83,141
    Gen   22: 83,195
    Gen   23: 83,195
    Gen   24: 83,383
    Gen   25: 83,419
    Gen   26: 83,486
    Gen   27: 83,693
    Gen   28: 83,694
    Gen   29: 83,876
    Gen   30: 83,887
    Gen   31: 83,900
    Gen   32: 83,995
    Gen   33: 84,004
    Gen   34: 84,037
    Gen   35: 84,046
    Gen   36: 84,083
    Gen   37: 84,090
    Gen   38: 84,099
    Gen   39: 84,123
    Gen   40: 84,136
    Gen   41: 84,380
    Gen   42: 84,385
    Gen   43: 84,487
    Gen   44: 84,496
    Gen   45: 84,507
    Gen   46: 84,693
    Gen   47: 84,695
    Gen   48: 84,775
    Gen   49: 84,789
    Gen   50: 84,805
    Gen   51: 85,030
    Gen   52: 85,086
    Gen   53: 85,099
    Gen   54: 85,103
    Gen   55: 85,153
    Gen   56: 85,161
    Gen   57: 85,175
    Gen   58: 85,249
    Gen   59: 85,293
    Gen   60: 85,347
    Gen   61: 85,349
    Gen   62: 85,523
    Gen   63: 85,631
    Gen   64: 85,634
    Gen   65: 85,640
    Gen   66: 85,671
    Gen   67: 85,683
    Gen   68: 85,710
    Gen   69: 85,725
    Gen   70: 85,741
    Gen   71: 85,745
    Gen   72: 85,751
    Gen   73: 85,754
    Gen   74: 85,846
    Gen   75: 85,918
    Gen   76: 85,918
    Gen   77: 86,039
    Gen   78: 86,039
    Gen   79: 86,069
    Gen   80: 86,088
    Gen   81: 86,106
    Gen   82: 86,106
    Gen   83: 86,106
    Gen   84: 86,114
    Gen   85: 86,135
    Gen   86: 86,156
    Gen   87: 86,156
    Gen   88: 86,156
    Gen   89: 86,178
    Gen   90: 86,178
    Gen   91: 86,186
    Gen   92: 86,194
    Gen   93: 86,227
    Gen   94: 86,279
    Gen   95: 86,349
    Gen   96: 86,349
    Gen   97: 86,355
    Gen   98: 86,366
    Gen   99: 86,430

  Pokretanje 7:
    Gen    0: 72,467
    Gen    1: 75,037
    Gen    2: 76,688
    Gen    3: 78,179
    Gen    4: 79,199
    Gen    5: 80,678
    Gen    6: 81,220
    Gen    7: 81,450
    Gen    8: 82,182
    Gen    9: 82,318
    Gen   10: 82,501
    Gen   11: 82,685
    Gen   12: 82,754
    Gen   13: 82,935
    Gen   14: 82,983
    Gen   15: 83,047
    Gen   16: 83,338
    Gen   17: 83,369
    Gen   18: 83,397
    Gen   19: 83,415
    Gen   20: 83,448
    Gen   21: 83,462
    Gen   22: 83,466
    Gen   23: 83,489
    Gen   24: 83,497
    Gen   25: 83,740
    Gen   26: 84,016
    Gen   27: 84,024
    Gen   28: 84,224
    Gen   29: 84,259
    Gen   30: 84,293
    Gen   31: 84,328
    Gen   32: 84,329
    Gen   33: 84,701
    Gen   34: 84,752
    Gen   35: 84,758
    Gen   36: 84,900
    Gen   37: 84,900
    Gen   38: 84,922
    Gen   39: 85,067
    Gen   40: 85,070
    Gen   41: 85,075
    Gen   42: 85,103
    Gen   43: 85,122
    Gen   44: 85,243
    Gen   45: 85,460
    Gen   46: 85,516
    Gen   47: 85,929
    Gen   48: 85,953
    Gen   49: 86,001
    Gen   50: 86,001
    Gen   51: 86,001
    Gen   52: 86,001
    Gen   53: 86,015
    Gen   54: 86,015
    Gen   55: 86,139
    Gen   56: 86,139
    Gen   57: 86,197
    Gen   58: 86,197
    Gen   59: 86,197
    Gen   60: 86,226
    Gen   61: 86,226
    Gen   62: 86,249
    Gen   63: 86,270
    Gen   64: 86,291
    Gen   65: 86,295
    Gen   66: 86,378
    Gen   67: 86,382
    Gen   68: 86,404
    Gen   69: 86,405
    Gen   70: 86,431
    Gen   71: 86,443
    Gen   72: 86,453
    Gen   73: 86,478
    Gen   74: 86,564
    Gen   75: 86,573
    Gen   76: 86,612
    Gen   77: 86,633
    Gen   78: 86,741
    Gen   79: 86,744
    Gen   80: 86,786
    Gen   81: 86,807
    Gen   82: 86,827
    Gen   83: 86,842
    Gen   84: 86,869
    Gen   85: 86,869
    Gen   86: 86,970
    Gen   87: 86,993
    Gen   88: 87,009
    Gen   89: 87,019
    Gen   90: 87,044
    Gen   91: 87,069
    Gen   92: 87,129
    Gen   93: 87,164
    Gen   94: 87,179
    Gen   95: 87,184
    Gen   96: 87,194
    Gen   97: 87,202
    Gen   98: 87,222
    Gen   99: 87,222

  Pokretanje 8:
    Gen    0: 72,128
    Gen    1: 75,527
    Gen    2: 76,836
    Gen    3: 77,712
    Gen    4: 79,315
    Gen    5: 79,655
    Gen    6: 80,107
    Gen    7: 80,421
    Gen    8: 80,515
    Gen    9: 80,791
    Gen   10: 80,978
    Gen   11: 81,137
    Gen   12: 81,264
    Gen   13: 81,488
    Gen   14: 82,299
    Gen   15: 82,404
    Gen   16: 82,521
    Gen   17: 83,408
    Gen   18: 83,508
    Gen   19: 83,540
    Gen   20: 83,582
    Gen   21: 83,680
    Gen   22: 83,716
    Gen   23: 83,721
    Gen   24: 83,734
    Gen   25: 83,813
    Gen   26: 83,830
    Gen   27: 83,866
    Gen   28: 83,902
    Gen   29: 84,116
    Gen   30: 84,144
    Gen   31: 84,168
    Gen   32: 84,177
    Gen   33: 84,177
    Gen   34: 84,186
    Gen   35: 84,186
    Gen   36: 84,186
    Gen   37: 84,186
    Gen   38: 84,204
    Gen   39: 84,204
    Gen   40: 84,470
    Gen   41: 84,470
    Gen   42: 84,482
    Gen   43: 84,482
    Gen   44: 84,557
    Gen   45: 84,557
    Gen   46: 84,641
    Gen   47: 84,972
    Gen   48: 85,162
    Gen   49: 85,178
    Gen   50: 85,190
    Gen   51: 85,212
    Gen   52: 85,279
    Gen   53: 85,309
    Gen   54: 85,331
    Gen   55: 85,332
    Gen   56: 85,332
    Gen   57: 85,332
    Gen   58: 85,496
    Gen   59: 85,511
    Gen   60: 85,607
    Gen   61: 85,650
    Gen   62: 85,695
    Gen   63: 85,695
    Gen   64: 85,718
    Gen   65: 85,718
    Gen   66: 85,718
    Gen   67: 85,718
    Gen   68: 85,718
    Gen   69: 85,718
    Gen   70: 85,729
    Gen   71: 85,729
    Gen   72: 85,729
    Gen   73: 85,729
    Gen   74: 85,729
    Gen   75: 85,729
    Gen   76: 85,729
    Gen   77: 85,729
    Gen   78: 85,729
    Gen   79: 85,729
    Gen   80: 85,729
    Gen   81: 85,729
    Gen   82: 85,729
    Gen   83: 85,729
    Gen   84: 85,729
    Gen   85: 85,729
    Gen   86: 85,729
    Gen   87: 85,729
    Gen   88: 85,771
    Gen   89: 85,771
    Gen   90: 85,997
    Gen   91: 86,002
    Gen   92: 86,002
    Gen   93: 86,006
    Gen   94: 86,006
    Gen   95: 86,010
    Gen   96: 86,031
    Gen   97: 86,087
    Gen   98: 86,159
    Gen   99: 86,195

  Pokretanje 9:
    Gen    0: 71,663
    Gen    1: 75,461
    Gen    2: 76,436
    Gen    3: 78,840
    Gen    4: 80,050
    Gen    5: 80,519
    Gen    6: 81,189
    Gen    7: 81,529
    Gen    8: 82,080
    Gen    9: 82,242
    Gen   10: 82,493
    Gen   11: 82,901
    Gen   12: 83,315
    Gen   13: 83,402
    Gen   14: 83,503
    Gen   15: 83,599
    Gen   16: 83,651
    Gen   17: 83,743
    Gen   18: 83,762
    Gen   19: 83,814
    Gen   20: 83,858
    Gen   21: 83,862
    Gen   22: 83,875
    Gen   23: 83,878
    Gen   24: 84,282
    Gen   25: 84,307
    Gen   26: 84,315
    Gen   27: 84,503
    Gen   28: 84,519
    Gen   29: 84,891
    Gen   30: 84,927
    Gen   31: 85,271
    Gen   32: 85,284
    Gen   33: 85,296
    Gen   34: 85,312
    Gen   35: 85,413
    Gen   36: 85,413
    Gen   37: 85,420
    Gen   38: 85,420
    Gen   39: 85,420
    Gen   40: 85,458
    Gen   41: 85,465
    Gen   42: 85,525
    Gen   43: 85,531
    Gen   44: 85,560
    Gen   45: 85,560
    Gen   46: 85,729
    Gen   47: 85,743
    Gen   48: 85,743
    Gen   49: 85,806
    Gen   50: 85,816
    Gen   51: 85,909
    Gen   52: 85,915
    Gen   53: 85,945
    Gen   54: 85,958
    Gen   55: 85,990
    Gen   56: 85,998
    Gen   57: 85,998
    Gen   58: 85,998
    Gen   59: 86,005
    Gen   60: 86,012
    Gen   61: 86,059
    Gen   62: 86,096
    Gen   63: 86,103
    Gen   64: 86,119
    Gen   65: 86,127
    Gen   66: 86,134
    Gen   67: 86,137
    Gen   68: 86,152
    Gen   69: 86,170
    Gen   70: 86,196
    Gen   71: 86,207
    Gen   72: 86,256
    Gen   73: 86,282
    Gen   74: 86,296
    Gen   75: 86,310
    Gen   76: 86,335
    Gen   77: 86,346
    Gen   78: 86,365
    Gen   79: 86,365
    Gen   80: 86,369
    Gen   81: 86,369
    Gen   82: 86,377
    Gen   83: 86,377
    Gen   84: 86,377
    Gen   85: 86,407
    Gen   86: 86,407
    Gen   87: 86,407
    Gen   88: 86,411
    Gen   89: 86,411
    Gen   90: 86,430
    Gen   91: 86,587
    Gen   92: 86,587
    Gen   93: 86,653
    Gen   94: 86,661
    Gen   95: 86,677
    Gen   96: 86,718
    Gen   97: 86,718
    Gen   98: 86,720
    Gen   99: 86,720

  Pokretanje 10:
    Gen    0: 72,508
    Gen    1: 75,504
    Gen    2: 77,778
    Gen    3: 78,444
    Gen    4: 79,598
    Gen    5: 81,060
    Gen    6: 81,113
    Gen    7: 81,707
    Gen    8: 82,015
    Gen    9: 82,179
    Gen   10: 82,338
    Gen   11: 82,498
    Gen   12: 82,655
    Gen   13: 82,881
    Gen   14: 82,921
    Gen   15: 83,291
    Gen   16: 83,303
    Gen   17: 83,325
    Gen   18: 83,614
    Gen   19: 83,627
    Gen   20: 83,639
    Gen   21: 83,798
    Gen   22: 83,821
    Gen   23: 84,038
    Gen   24: 84,206
    Gen   25: 84,369
    Gen   26: 84,451
    Gen   27: 84,458
    Gen   28: 84,539
    Gen   29: 84,600
    Gen   30: 84,616
    Gen   31: 84,678
    Gen   32: 84,690
    Gen   33: 84,697
    Gen   34: 84,727
    Gen   35: 84,734
    Gen   36: 84,832
    Gen   37: 84,832
    Gen   38: 84,855
    Gen   39: 84,886
    Gen   40: 84,886
    Gen   41: 85,066
    Gen   42: 85,265
    Gen   43: 85,455
    Gen   44: 85,455
    Gen   45: 85,464
    Gen   46: 85,464
    Gen   47: 85,821
    Gen   48: 85,821
    Gen   49: 85,951
    Gen   50: 86,030
    Gen   51: 86,106
    Gen   52: 86,175
    Gen   53: 86,257
    Gen   54: 86,261
    Gen   55: 86,261
    Gen   56: 86,442
    Gen   57: 86,442
    Gen   58: 86,442
    Gen   59: 86,446
    Gen   60: 86,446
    Gen   61: 86,446
    Gen   62: 86,446
    Gen   63: 86,446
    Gen   64: 86,516
    Gen   65: 86,516
    Gen   66: 86,535
    Gen   67: 86,709
    Gen   68: 86,710
    Gen   69: 86,715
    Gen   70: 86,719
    Gen   71: 86,724
    Gen   72: 86,724
    Gen   73: 86,724
    Gen   74: 86,729
    Gen   75: 86,731
    Gen   76: 86,848
    Gen   77: 86,848
    Gen   78: 86,874
    Gen   79: 86,883
    Gen   80: 86,883
    Gen   81: 86,883
    Gen   82: 86,889
    Gen   83: 86,889
    Gen   84: 86,958
    Gen   85: 86,958
    Gen   86: 86,969
    Gen   87: 86,969
    Gen   88: 87,038
    Gen   89: 87,038
    Gen   90: 87,063
    Gen   91: 87,075
    Gen   92: 87,075
    Gen   93: 87,112
    Gen   94: 87,132
    Gen   95: 87,135
    Gen   96: 87,136
    Gen   97: 87,147
    Gen   98: 87,147
    Gen   99: 87,158

  Pokretanje 11:
    Gen    0: 71,889
    Gen    1: 75,189
    Gen    2: 76,928
    Gen    3: 78,177
    Gen    4: 79,458
    Gen    5: 79,468
    Gen    6: 79,947
    Gen    7: 80,134
    Gen    8: 80,576
    Gen    9: 80,941
    Gen   10: 81,354
    Gen   11: 81,476
    Gen   12: 81,632
    Gen   13: 81,781
    Gen   14: 81,810
    Gen   15: 81,978
    Gen   16: 81,978
    Gen   17: 82,095
    Gen   18: 82,101
    Gen   19: 82,541
    Gen   20: 82,835
    Gen   21: 82,856
    Gen   22: 82,893
    Gen   23: 83,129
    Gen   24: 83,131
    Gen   25: 83,223
    Gen   26: 83,501
    Gen   27: 83,521
    Gen   28: 83,781
    Gen   29: 83,784
    Gen   30: 83,819
    Gen   31: 83,822
    Gen   32: 83,833
    Gen   33: 84,056
    Gen   34: 84,070
    Gen   35: 84,210
    Gen   36: 84,216
    Gen   37: 84,268
    Gen   38: 84,300
    Gen   39: 84,306
    Gen   40: 84,374
    Gen   41: 84,707
    Gen   42: 84,778
    Gen   43: 85,005
    Gen   44: 85,005
    Gen   45: 85,053
    Gen   46: 85,132
    Gen   47: 85,145
    Gen   48: 85,145
    Gen   49: 85,157
    Gen   50: 85,163
    Gen   51: 85,165
    Gen   52: 85,165
    Gen   53: 85,171
    Gen   54: 85,551
    Gen   55: 85,559
    Gen   56: 85,614
    Gen   57: 85,614
    Gen   58: 85,656
    Gen   59: 85,656
    Gen   60: 85,656
    Gen   61: 85,666
    Gen   62: 85,666
    Gen   63: 85,716
    Gen   64: 85,716
    Gen   65: 85,874
    Gen   66: 85,925
    Gen   67: 85,930
    Gen   68: 85,952
    Gen   69: 86,254
    Gen   70: 86,345
    Gen   71: 86,345
    Gen   72: 86,411
    Gen   73: 86,411
    Gen   74: 86,412
    Gen   75: 86,412
    Gen   76: 86,416
    Gen   77: 86,416
    Gen   78: 86,624
    Gen   79: 86,624
    Gen   80: 86,729
    Gen   81: 86,729
    Gen   82: 86,749
    Gen   83: 86,749
    Gen   84: 86,749
    Gen   85: 86,749
    Gen   86: 86,749
    Gen   87: 86,749
    Gen   88: 86,749
    Gen   89: 86,749
    Gen   90: 86,749
    Gen   91: 86,749
    Gen   92: 86,749
