	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33	PC_34	PC_35	PC_36	PC_37	PC_38	PC_39	PC_40	PC_41	PC_42	PC_43	PC_44	PC_45	PC_46	PC_47	PC_48	PC_49	PC_50	PC_51	PC_52	PC_53	PC_54	PC_55	PC_56	PC_57	PC_58	PC_59	PC_60	PC_61	PC_62	PC_63	PC_64	PC_65	PC_66	PC_67	PC_68	PC_69	PC_70	PC_71	PC_72	PC_73	PC_74	PC_75	PC_76	PC_77	PC_78	PC_79	PC_80	PC_81	PC_82	PC_83	PC_84	PC_85	PC_86	PC_87	PC_88	PC_89	PC_90	PC_91	PC_92	PC_93	PC_94	PC_95	PC_96	PC_97	PC_98	PC_99	PC_100
Servis_11	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40
Servis_12	10	21	32	43	14	25	36	47	18	29	40	11	22	33	44	15	26	37	48	19	30	41	12	23	34	45	16	27	38	49	20	31	42	13	24	35	46	17	28	39	10	21	32	43	14	25	36	47	18	29	40	11	22	33	44	15	26	37	48	19	30	41	12	23	34	45	16	27	38	49	20	31	42	13	24	35	46	17	28	39	10	21	32	43	14	25	36	47	18	29	40	11	22	33	44	15	26	37	48	19
Servis_13	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38
Servis_14	10	23	36	49	22	35	48	21	34	47	20	33	46	19	32	45	18	31	44	17	30	43	16	29	42	15	28	41	14	27	40	13	26	39	12	25	38	11	24	37	10	23	36	49	22	35	48	21	34	47	20	33	46	19	32	45	18	31	44	17	30	43	16	29	42	15	28	41	14	27	40	13	26	39	12	25	38	11	24	37	10	23	36	49	22	35	48	21	34	47	20	33	46	19	32	45	18	31	44	17
Servis_15	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36
Servis_16	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15
Servis_17	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34
Servis_18	10	27	44	21	38	15	32	49	26	43	20	37	14	31	48	25	42	19	36	13	30	47	24	41	18	35	12	29	46	23	40	17	34	11	28	45	22	39	16	33	10	27	44	21	38	15	32	49	26	43	20	37	14	31	48	25	42	19	36	13	30	47	24	41	18	35	12	29	46	23	40	17	34	11	28	45	22	39	16	33	10	27	44	21	38	15	32	49	26	43	20	37	14	31	48	25	42	19	36	13
Servis_19	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32
Servis_20	10	29	48	27	46	25	44	23	42	21	40	19	38	17	36	15	34	13	32	11	30	49	28	47	26	45	24	43	22	41	20	39	18	37	16	35	14	33	12	31	10	29	48	27	46	25	44	23	42	21	40	19	38	17	36	15	34	13	32	11	30	49	28	47	26	45	24	43	22	41	20	39	18	37	16	35	14	33	12	31	10	29	48	27	46	25	44	23	42	21	40	19	38	17	36	15	34	13	32	11
Servis_21	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30
Servis_22	10	31	12	33	14	35	16	37	18	39	20	41	22	43	24	45	26	47	28	49	30	11	32	13	34	15	36	17	38	19	40	21	42	23	44	25	46	27	48	29	10	31	12	33	14	35	16	37	18	39	20	41	22	43	24	45	26	47	28	49	30	11	32	13	34	15	36	17	38	19	40	21	42	23	44	25	46	27	48	29	10	31	12	33	14	35	16	37	18	39	20	41	22	43	24	45	26	47	28	49
Servis_23	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28
Servis_24	10	33	16	39	22	45	28	11	34	17	40	23	46	29	12	35	18	41	24	47	30	13	36	19	42	25	48	31	14	37	20	43	26	49	32	15	38	21	44	27	10	33	16	39	22	45	28	11	34	17	40	23	46	29	12	35	18	41	24	47	30	13	36	19	42	25	48	31	14	37	20	43	26	49	32	15	38	21	44	27	10	33	16	39	22	45	28	11	34	17	40	23	46	29	12	35	18	41	24	47
Servis_25	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26	10	34	18	42	26
Servis_26	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45	30	15	40	25	10	35	20	45
Servis_27	10	36	22	48	34	20	46	32	18	44	30	16	42	28	14	40	26	12	38	24	10	36	22	48	34	20	46	32	18	44	30	16	42	28	14	40	26	12	38	24	10	36	22	48	34	20	46	32	18	44	30	16	42	28	14	40	26	12	38	24	10	36	22	48	34	20	46	32	18	44	30	16	42	28	14	40	26	12	38	24	10	36	22	48	34	20	46	32	18	44	30	16	42	28	14	40	26	12	38	24
Servis_28	10	37	24	11	38	25	12	39	26	13	40	27	14	41	28	15	42	29	16	43	30	17	44	31	18	45	32	19	46	33	20	47	34	21	48	35	22	49	36	23	10	37	24	11	38	25	12	39	26	13	40	27	14	41	28	15	42	29	16	43	30	17	44	31	18	45	32	19	46	33	20	47	34	21	48	35	22	49	36	23	10	37	24	11	38	25	12	39	26	13	40	27	14	41	28	15	42	29	16	43
Servis_29	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22	10	38	26	14	42	30	18	46	34	22
Servis_30	10	39	28	17	46	35	24	13	42	31	20	49	38	27	16	45	34	23	12	41	30	19	48	37	26	15	44	33	22	11	40	29	18	47	36	25	14	43	32	21	10	39	28	17	46	35	24	13	42	31	20	49	38	27	16	45	34	23	12	41	30	19	48	37	26	15	44	33	22	11	40	29	18	47	36	25	14	43	32	21	10	39	28	17	46	35	24	13	42	31	20	49	38	27	16	45	34	23	12	41
Servis_31	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20	10	40	30	20
Servis_32	10	41	32	23	14	45	36	27	18	49	40	31	22	13	44	35	26	17	48	39	30	21	12	43	34	25	16	47	38	29	20	11	42	33	24	15	46	37	28	19	10	41	32	23	14	45	36	27	18	49	40	31	22	13	44	35	26	17	48	39	30	21	12	43	34	25	16	47	38	29	20	11	42	33	24	15	46	37	28	19	10	41	32	23	14	45	36	27	18	49	40	31	22	13	44	35	26	17	48	39
Servis_33	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18	10	42	34	26	18
Servis_34	10	43	36	29	22	15	48	41	34	27	20	13	46	39	32	25	18	11	44	37	30	23	16	49	42	35	28	21	14	47	40	33	26	19	12	45	38	31	24	17	10	43	36	29	22	15	48	41	34	27	20	13	46	39	32	25	18	11	44	37	30	23	16	49	42	35	28	21	14	47	40	33	26	19	12	45	38	31	24	17	10	43	36	29	22	15	48	41	34	27	20	13	46	39	32	25	18	11	44	37
Servis_35	10	44	38	32	26	20	14	48	42	36	30	24	18	12	46	40	34	28	22	16	10	44	38	32	26	20	14	48	42	36	30	24	18	12	46	40	34	28	22	16	10	44	38	32	26	20	14	48	42	36	30	24	18	12	46	40	34	28	22	16	10	44	38	32	26	20	14	48	42	36	30	24	18	12	46	40	34	28	22	16	10	44	38	32	26	20	14	48	42	36	30	24	18	12	46	40	34	28	22	16
Servis_36	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35	30	25	20	15	10	45	40	35
Servis_37	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14	10	46	42	38	34	30	26	22	18	14
Servis_38	10	47	44	41	38	35	32	29	26	23	20	17	14	11	48	45	42	39	36	33	30	27	24	21	18	15	12	49	46	43	40	37	34	31	28	25	22	19	16	13	10	47	44	41	38	35	32	29	26	23	20	17	14	11	48	45	42	39	36	33	30	27	24	21	18	15	12	49	46	43	40	37	34	31	28	25	22	19	16	13	10	47	44	41	38	35	32	29	26	23	20	17	14	11	48	45	42	39	36	33
Servis_39	10	48	46	44	42	40	38	36	34	32	30	28	26	24	22	20	18	16	14	12	10	48	46	44	42	40	38	36	34	32	30	28	26	24	22	20	18	16	14	12	10	48	46	44	42	40	38	36	34	32	30	28	26	24	22	20	18	16	14	12	10	48	46	44	42	40	38	36	34	32	30	28	26	24	22	20	18	16	14	12	10	48	46	44	42	40	38	36	34	32	30	28	26	24	22	20	18	16	14	12
Servis_40	10	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31
Servis_41	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
Servis_42	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Servis_43	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48
Servis_44	10	13	16	19	22	25	28	31	34	37	40	43	46	49	12	15	18	21	24	27	30	33	36	39	42	45	48	11	14	17	20	23	26	29	32	35	38	41	44	47	10	13	16	19	22	25	28	31	34	37	40	43	46	49	12	15	18	21	24	27	30	33	36	39	42	45	48	11	14	17	20	23	26	29	32	35	38	41	44	47	10	13	16	19	22	25	28	31	34	37	40	43	46	49	12	15	18	21	24	27
Servis_45	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46	10	14	18	22	26	30	34	38	42	46
Servis_46	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25	30	35	40	45	10	15	20	25
Servis_47	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44	10	16	22	28	34	40	46	12	18	24	30	36	42	48	14	20	26	32	38	44
Servis_48	10	17	24	31	38	45	12	19	26	33	40	47	14	21	28	35	42	49	16	23	30	37	44	11	18	25	32	39	46	13	20	27	34	41	48	15	22	29	36	43	10	17	24	31	38	45	12	19	26	33	40	47	14	21	28	35	42	49	16	23	30	37	44	11	18	25	32	39	46	13	20	27	34	41	48	15	22	29	36	43	10	17	24	31	38	45	12	19	26	33	40	47	14	21	28	35	42	49	16	23
Servis_49	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42	10	18	26	34	42
Servis_50	10	19	28	37	46	15	24	33	42	11	20	29	38	47	16	25	34	43	12	21	30	39	48	17	26	35	44	13	22	31	40	49	18	27	36	45	14	23	32	41	10	19	28	37	46	15	24	33	42	11	20	29	38	47	16	25	34	43	12	21	30	39	48	17	26	35	44	13	22	31	40	49	18	27	36	45	14	23	32	41	10	19	28	37	46	15	24	33	42	11	20	29	38	47	16	25	34	43	12	21
Servis_51	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40	10	20	30	40
Servis_52	10	21	32	43	14	25	36	47	18	29	40	11	22	33	44	15	26	37	48	19	30	41	12	23	34	45	16	27	38	49	20	31	42	13	24	35	46	17	28	39	10	21	32	43	14	25	36	47	18	29	40	11	22	33	44	15	26	37	48	19	30	41	12	23	34	45	16	27	38	49	20	31	42	13	24	35	46	17	28	39	10	21	32	43	14	25	36	47	18	29	40	11	22	33	44	15	26	37	48	19
Servis_53	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38	10	22	34	46	18	30	42	14	26	38
Servis_54	10	23	36	49	22	35	48	21	34	47	20	33	46	19	32	45	18	31	44	17	30	43	16	29	42	15	28	41	14	27	40	13	26	39	12	25	38	11	24	37	10	23	36	49	22	35	48	21	34	47	20	33	46	19	32	45	18	31	44	17	30	43	16	29	42	15	28	41	14	27	40	13	26	39	12	25	38	11	24	37	10	23	36	49	22	35	48	21	34	47	20	33	46	19	32	45	18	31	44	17
Servis_55	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36	10	24	38	12	26	40	14	28	42	16	30	44	18	32	46	20	34	48	22	36
Servis_56	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15	30	45	20	35	10	25	40	15
Servis_57	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34	10	26	42	18	34
Servis_58	10	27	44	21	38	15	32	49	26	43	20	37	14	31	48	25	42	19	36	13	30	47	24	41	18	35	12	29	46	23	40	17	34	11	28	45	22	39	16	33	10	27	44	21	38	15	32	49	26	43	20	37	14	31	48	25	42	19	36	13	30	47	24	41	18	35	12	29	46	23	40	17	34	11	28	45	22	39	16	33	10	27	44	21	38	15	32	49	26	43	20	37	14	31	48	25	42	19	36	13
Servis_59	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32	10	28	46	24	42	20	38	16	34	12	30	48	26	44	22	40	18	36	14	32
Servis_60	10	29	48	27	46	25	44	23	42	21	40	19	38	17	36	15	34	13	32	11	30	49	28	47	26	45	24	43	22	41	20	39	18	37	16	35	14	33	12	31	10	29	48	27	46	25	44	23	42	21	40	19	38	17	36	15	34	13	32	11	30	49	28	47	26	45	24	43	22	41	20	39	18	37	16	35	14	33	12	31	10	29	48	27	46	25	44	23	42	21	40	19	38	17	36	15	34	13	32	11
Servis_61	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30
Servis_62	10	31	12	33	14	35	16	37	18	39	20	41	22	43	24	45	26	47	28	49	30	11	32	13	34	15	36	17	38	19	40	21	42	23	44	25	46	27	48	29	10	31	12	33	14	35	16	37	18	39	20	41	22	43	24	45	26	47	28	49	30	11	32	13	34	15	36	17	38	19	40	21	42	23	44	25	46	27	48	29	10	31	12	33	14	35	16	37	18	39	20	41	22	43	24	45	26	47	28	49
Servis_63	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28	10	32	14	36	18	40	22	44	26	48	30	12	34	16	38	20	42	24	46	28
